BOWLER_NAME,MATCH_PLAYED,WICKET_TAKEN,ECONOMY_RATE,BOWLING_AVG,TOTAL_RUNS_GIVEN,OVERS_BOWLED,BALLS_BOWLED,WIDES,NO_BALLS,FOURS,SIXES
"KAJ Roach",2,0,9.23,NULL,80,9,52,3,1,10,3
"Kamran Khan",9,13,8.22,17.92,233,28,170,9,1,22,10
"Karanveer Singh",9,14,9.10,23.07,323,36,213,9,0,19,19
"Kartik Tyagi",10,10,9.26,37.20,372,40,241,11,1,28,21
"KC Cariappa",11,8,9.35,43.63,349,37,224,6,2,23,19
"KH Pandya",69,49,7.16,31.22,1530,214,1283,37,1,105,44
"KJ Abbott",5,2,10.71,91.00,182,17,102,5,1,24,4
"KK Ahmed",17,30,8.66,19.20,576,67,399,18,0,53,26
"KK Cooper",25,36,7.89,21.92,789,100,600,23,1,59,23
"KL Nagarkoti",9,5,8.74,46.60,233,27,160,4,0,15,11
"KM Asif",2,3,11.84,25.00,75,6,38,2,0,7,6
"KMA Paul",8,10,7.97,23.90,239,30,180,12,5,18,8
"KMDN Kulasekara",5,6,6.84,20.33,122,18,107,5,0,16,0
"KP Appanna",13,11,7.86,26.45,291,37,222,6,0,20,11
"KP Pietersen",13,9,7.27,24.22,218,30,180,6,0,10,9
"KS Williamson",2,0,10.33,NULL,31,3,18,0,0,1,2
"Kuldeep Yadav",43,43,8.22,29.09,1251,152,913,16,1,62,66
"KV Sharma",66,64,7.97,25.70,1645,207,1239,17,0,87,91
"KW Richardson",14,20,8.28,22.50,450,54,326,9,0,35,23
"L Ablish",3,5,10.13,15.20,76,8,45,3,0,11,1
"L Balaji",73,85,7.94,24.51,2083,262,1574,58,4,188,69
"L Ngidi",11,23,7.44,14.39,331,45,267,13,2,29,14
"LA Carseldine",1,1,5.14,6.00,6,1,7,1,0,1,0
"LE Plunkett",7,4,8.88,57.00,228,26,154,4,0,15,12
"LH Ferguson",14,14,8.15,30.86,432,53,318,18,1,45,14
"LJ Wright",6,2,10.00,62.50,125,13,75,4,0,5,9
"LMP Simmons",1,1,11.33,34.00,34,3,18,0,0,2,2
"LPC Silva",1,0,21.00,NULL,21,1,6,0,0,0,3
"LR Shukla",27,17,8.43,26.94,458,54,326,10,2,39,16
"LRPL Taylor",2,0,11.08,NULL,24,2,13,1,0,0,2
"LS Livingstone",1,0,13.00,NULL,13,1,6,0,0,0,2
"M Ashwin",31,25,7.67,31.84,796,104,623,16,1,60,29
